User_ID,Streaming_Share_Of_Usage,Original_Predicted_Month_End_MB,New_Predicted_Month_End_MB,Data_Saved_MB,Original_Shortage_MB,New_Shortage_MB,Original_Risk,New_Risk
U0044,0.38,6493.25,6006.2,487.05,0.0,0.0,Low,Low
U0045,0.5,6092.96,5485.42,607.54,0.0,0.0,Low,Low
U0046,0.53,8602.87,7696.92,905.95,0.0,0.0,Low,Low
U0047,0.32,16804.28,15741.04,1063.24,6564.28,5501.04,High,High
U0048,0.5,7074.44,6361.2,713.24,0.0,0.0,Low,Low
U0049,0.53,8963.44,8007.93,955.51,0.0,0.0,Medium,Low
U0050,0.15,5263.39,5101.83,161.56,0.0,0.0,Low,Low
U0051,0.46,4132.65,3755.47,377.18,0.0,0.0,Low,Low
U0052,0.16,4682.92,4535.03,147.89,0.0,0.0,Low,Low
U0053,0.37,6727.23,6224.07,503.16,0.0,0.0,Low,Low
U0054,0.39,4225.43,3892.74,332.69,0.0,0.0,Low,Low
U0055,0.24,2158.45,2055.55,102.9,0.0,0.0,Low,Low
U0056,0.18,8747.63,8435.85,311.78,0.0,0.0,Medium,Low
U0057,0.35,6822.8,6348.69,474.11,0.0,0.0,Low,Low
U0058,0.4,21223.6,19533.4,1690.2,10983.6,9293.4,High,High
U0059,0.4,6848.79,6306.38,542.41,0.0,0.0,Low,Low
U0060,0.33,3056.94,2854.01,202.93,0.0,0.0,Low,Low
U0061,0.36,21822.27,20267.2,1555.07,11582.27,10027.2,High,High
U0062,0.18,4633.58,4465.79,167.79,0.0,0.0,Low,Low
U0063,0.48,15346.74,13864.84,1481.9,5106.74,3624.84,High,High
U0064,0.39,8379.12,7726.12,653.0,0.0,0.0,Low,Low
U0065,0.51,11874.43,10671.5,1202.93,1634.43,431.5,High,High
U0066,0.3,11514.2,10821.64,692.56,1274.2,581.64,High,High
U0067,0.31,5250.21,4926.96,323.25,0.0,0.0,Low,Low
U0068,0.43,6092.34,5571.19,521.15,972.34,451.19,High,High
U0069,0.4,16349.53,15054.03,1295.5,6109.53,4814.03,High,High
U0070,0.45,7424.13,6758.27,665.86,0.0,0.0,Low,Low
U0071,0.27,10879.66,10290.76,588.9,639.66,50.76,High,High
U0072,0.44,10609.45,9675.31,934.14,369.45,0.0,High,Medium
U0073,0.21,5069.38,4852.24,217.14,0.0,0.0,Low,Low
U0074,0.34,9636.46,8989.93,646.53,0.0,0.0,Medium,Medium
U0075,0.48,4702.11,4254.74,447.37,1630.11,1182.74,High,High
U0076,0.52,9863.81,8839.88,1023.93,0.0,0.0,Medium,Medium
U0077,0.35,5904.68,5493.32,411.36,784.68,373.32,High,High
U0078,0.1,4494.26,4408.14,86.12,0.0,0.0,Low,Low
U0079,0.05,10536.79,10431.76,105.03,296.79,191.76,High,High
U0080,0.18,1698.17,1637.57,60.6,0.0,0.0,Low,Low
U0081,0.16,1931.77,1870.65,61.12,0.0,0.0,Low,Low
U0082,0.37,8667.35,8018.56,648.79,0.0,0.0,Low,Low
U0083,0.19,5549.59,5342.67,206.92,429.59,222.67,High,High
U0084,0.28,8528.81,8049.31,479.5,0.0,0.0,Low,Low
U0085,0.22,5253.78,5021.1,232.68,133.78,0.0,High,Medium
U0086,0.31,2748.02,2577.28,170.74,0.0,0.0,Low,Low
U0087,0.51,12032.46,10803.48,1228.98,1792.46,563.48,High,High
U0088,0.43,2414.83,2205.6,209.23,0.0,0.0,Low,Low
U0089,0.37,8510.84,7880.86,629.98,0.0,0.0,Low,Low
U0090,0.4,2867.66,2638.96,228.7,0.0,0.0,Low,Low
U0091,0.37,6314.15,5846.65,467.5,0.0,0.0,Low,Low
U0092,0.43,4313.08,3939.98,373.1,1241.08,867.98,High,High
U0093,0.46,4951.98,4497.59,454.39,0.0,0.0,Low,Low
U0094,0.15,11181.84,10847.02,334.82,941.84,607.02,High,High
U0095,0.42,2820.76,2583.96,236.8,0.0,0.0,Low,Low
U0096,0.1,4183.4,4103.73,79.67,0.0,0.0,Low,Low
U0097,0.44,3199.58,2918.29,281.29,0.0,0.0,Low,Low
U0098,0.46,3139.51,2853.71,285.8,0.0,0.0,Low,Low
U0099,0.33,5866.23,5479.42,386.81,0.0,0.0,Low,Low
U0100,0.53,6543.14,5852.89,690.25,0.0,0.0,Low,Low
U0101,0.16,2850.71,2756.9,93.81,0.0,0.0,Medium,Medium
U0102,0.41,4984.63,4578.67,405.96,0.0,0.0,Low,Low
U0103,0.29,10847.7,10222.92,624.78,607.7,0.0,High,Medium
U0104,0.39,2486.73,2291.32,195.41,0.0,0.0,Low,Low
U0105,0.4,7743.98,7129.93,614.05,0.0,0.0,Low,Low
U0106,0.28,9659.85,9123.22,536.63,0.0,0.0,Medium,Medium
U0107,0.44,6861.82,6264.13,597.69,0.0,0.0,Low,Low
U0108,0.37,13765.34,12738.67,1026.67,3525.34,2498.67,High,High
U0109,0.38,8897.12,8213.79,683.33,0.0,0.0,Medium,Low
U0110,0.39,8591.76,7919.25,672.51,0.0,0.0,Low,Low
U0111,0.35,3496.17,3248.17,248.0,0.0,0.0,Low,Low
U0112,0.47,10329.5,9351.5,978.0,89.5,0.0,High,Medium
U0113,0.18,9071.38,8746.55,324.83,0.0,0.0,Medium,Medium
U0114,0.43,9410.51,8592.44,818.07,0.0,0.0,Medium,Low
U0115,0.56,8462.51,7511.91,950.6,0.0,0.0,Low,Low
U0116,0.36,7852.91,7285.45,567.46,0.0,0.0,Low,Low
U0117,0.04,11129.68,11033.39,96.29,889.68,793.39,High,High
U0118,0.35,5444.64,5063.31,381.33,0.0,0.0,Low,Low
U0119,0.45,7837.29,7132.35,704.94,0.0,0.0,Low,Low
U0120,0.43,4711.63,4303.64,407.99,0.0,0.0,Low,Low
U0121,0.42,4242.07,3882.26,359.81,0.0,0.0,Low,Low
U0122,0.43,10579.95,9678.25,901.7,339.95,0.0,High,Medium
U0123,0.46,6796.31,6170.24,626.07,0.0,0.0,Low,Low
U0124,0.49,9363.76,8455.34,908.42,0.0,0.0,Medium,Low
U0125,0.37,11117.4,10305.66,811.74,877.4,65.66,High,High
U0126,0.39,14243.33,13127.94,1115.39,4003.33,2887.94,High,High
U0127,0.42,3695.88,3385.77,310.11,0.0,0.0,Low,Low
U0128,0.46,7184.1,6528.37,655.73,0.0,0.0,Low,Low
U0129,0.35,8352.94,7771.75,581.19,0.0,0.0,Low,Low
U0130,0.24,15022.44,14306.24,716.2,4782.44,4066.24,High,High
U0131,0.54,7946.13,7084.97,861.16,0.0,0.0,Low,Low
U0132,0.46,5969.52,5417.01,552.51,0.0,0.0,Low,Low
U0133,0.44,13148.56,11988.89,1159.67,2908.56,1748.89,High,High
U0134,0.33,11676.77,10902.13,774.64,1436.77,662.13,High,High
U0135,0.37,5479.48,5077.66,401.82,0.0,0.0,Low,Low
U0136,0.41,2404.63,2207.81,196.82,0.0,0.0,Low,Low
U0137,0.47,5492.68,4971.18,521.5,372.68,0.0,High,Medium
U0138,0.5,3592.53,3235.15,357.38,0.0,0.0,Low,Low
U0139,0.14,5073.79,4930.46,143.33,0.0,0.0,Low,Low
U0140,0.46,7826.9,7103.2,723.7,0.0,0.0,Low,Low
U0141,0.48,8214.3,7420.84,793.46,0.0,0.0,Low,Low
U0142,0.38,6071.82,5604.9,466.92,0.0,0.0,Low,Low
U0143,0.07,8731.91,8606.31,125.6,0.0,0.0,Medium,Low
U0144,0.55,2739.4,2437.05,302.35,0.0,0.0,Medium,Low
U0145,0.41,8021.91,7370.27,651.64,0.0,0.0,Low,Low
U0146,0.26,17007.91,16127.29,880.62,6767.91,5887.29,High,High
U0147,0.42,4995.31,4580.36,414.95,0.0,0.0,Medium,Medium
U0148,0.46,15753.46,14292.28,1461.18,5513.46,4052.28,High,High
U0149,0.33,7369.33,6883.98,485.35,0.0,0.0,Low,Low
U0150,0.41,15170.17,13916.01,1254.16,4930.17,3676.01,High,High
U0151,0.43,6321.19,5779.92,541.27,0.0,0.0,Low,Low
U0152,0.46,4734.15,4299.45,434.7,0.0,0.0,Low,Low
U0153,0.44,7629.35,6955.52,673.83,0.0,0.0,Low,Low
U0154,0.27,13617.29,12892.08,725.21,3377.29,2652.08,High,High
U0155,0.43,10537.87,9622.79,915.08,297.87,0.0,High,Medium
U0156,0.21,2691.4,2579.53,111.87,0.0,0.0,Low,Low
U0157,0.12,4855.51,4737.37,118.14,0.0,0.0,Low,Low
U0158,0.51,4485.62,4029.62,456.0,0.0,0.0,Medium,Low
U0159,0.43,5134.05,4689.16,444.89,0.0,0.0,Low,Low
U0160,0.41,2751.07,2526.75,224.32,0.0,0.0,Medium,Low
U0161,0.46,3380.58,3070.75,309.83,308.58,0.0,High,Medium
U0162,0.36,13912.49,12902.5,1009.99,3672.49,2662.5,High,High
U0163,0.44,6525.31,5947.63,577.68,0.0,0.0,Low,Low
U0164,0.45,7194.24,6550.56,643.68,0.0,0.0,Low,Low
U0165,0.36,12154.49,11273.49,881.0,1914.49,1033.49,High,High
U0166,0.35,7924.88,7365.82,559.06,0.0,0.0,Low,Low
U0167,0.48,8249.71,7454.34,795.37,0.0,0.0,Low,Low
U0168,0.1,6923.63,6792.01,131.62,0.0,0.0,Low,Low
U0169,0.36,9248.84,8580.66,668.18,0.0,0.0,Medium,Low
U0170,0.07,7317.64,7212.79,104.85,0.0,0.0,Low,Low
U0171,0.43,2489.19,2272.99,216.2,0.0,0.0,Low,Low
U0172,0.28,14666.1,13840.04,826.06,4426.1,3600.04,High,High
U0173,0.05,9150.58,9066.6,83.98,0.0,0.0,Medium,Medium
U0174,0.42,6391.61,5853.46,538.15,0.0,0.0,Low,Low
U0175,0.39,5651.51,5208.26,443.25,0.0,0.0,Low,Low
U0176,0.05,8183.55,8106.5,77.05,0.0,0.0,Low,Low
U0177,0.46,7686.99,6980.96,706.03,0.0,0.0,Low,Low
U0178,0.49,6157.8,5548.87,608.93,0.0,0.0,Low,Low
U0179,0.53,9040.37,8084.44,955.93,0.0,0.0,Medium,Low
U0180,0.43,2820.72,2580.27,240.45,0.0,0.0,Low,Low
U0181,0.41,8085.79,7418.02,667.77,0.0,0.0,Low,Low
U0182,0.47,12291.04,11131.93,1159.11,2051.04,891.93,High,High
U0183,0.53,9932.68,8875.92,1056.76,0.0,0.0,Medium,Medium
U0184,0.47,5504.35,4983.19,521.16,0.0,0.0,Low,Low
U0185,0.19,6209.17,5973.24,235.93,0.0,0.0,Low,Low
U0186,0.41,4264.76,3913.0,351.76,0.0,0.0,Low,Low
U0187,0.46,6936.52,6295.42,641.1,0.0,0.0,Low,Low
U0188,0.07,7638.63,7535.85,102.78,0.0,0.0,Low,Low
U0189,0.48,2396.3,2166.42,229.88,0.0,0.0,Low,Low
U0190,0.48,9228.4,8339.3,889.1,0.0,0.0,Medium,Low
U0191,0.45,4309.41,3924.37,385.04,0.0,0.0,Low,Low
U0192,0.49,12100.34,10921.89,1178.45,1860.34,681.89,High,High
U0193,0.42,2913.41,2668.66,244.75,0.0,0.0,Low,Low
U0194,0.36,5361.19,4978.13,383.06,0.0,0.0,Low,Low
U0195,0.4,12328.07,11351.83,976.24,2088.07,1111.83,High,High
U0196,0.25,4714.88,4479.06,235.82,0.0,0.0,Low,Low
U0197,0.26,2425.82,2299.89,125.93,0.0,0.0,Low,Low
U0198,0.51,3614.57,3248.24,366.33,0.0,0.0,Low,Low
U0199,0.46,6732.0,6108.81,623.19,0.0,0.0,Low,Low
U0200,0.2,4464.61,4288.39,176.22,0.0,0.0,Low,Low
U0201,0.36,15035.79,13962.8,1072.99,4795.79,3722.8,High,High
U0202,0.42,8642.96,7920.48,722.48,0.0,0.0,Low,Low
U0203,0.47,6405.92,5798.86,607.06,0.0,0.0,Low,Low
U0204,0.38,14631.76,13531.93,1099.83,4391.76,3291.93,High,High
U0205,0.42,6832.27,6260.88,571.39,0.0,0.0,Low,Low
U0206,0.46,6676.94,6067.04,609.9,0.0,0.0,Low,Low
U0207,0.43,14255.82,13028.13,1227.69,4015.82,2788.13,High,High
U0208,0.43,9684.63,8861.33,823.3,0.0,0.0,Medium,Medium
U0209,0.44,8934.81,8156.87,777.94,0.0,0.0,Medium,Low
U0210,0.13,10474.93,10197.77,277.16,234.93,0.0,High,Medium
U0211,0.47,2471.84,2237.93,233.91,0.0,0.0,Low,Low
U0212,0.38,8377.92,7737.31,640.61,0.0,0.0,Low,Low
U0213,0.46,3700.48,3357.35,343.13,0.0,0.0,Low,Low
U0214,0.11,1922.48,1879.99,42.49,0.0,0.0,Low,Low
U0215,0.19,5755.24,5531.66,223.58,0.0,0.0,Low,Low
U0216,0.43,7970.74,7277.65,693.09,0.0,0.0,Low,Low
U0217,0.31,14429.37,13532.52,896.85,4189.37,3292.52,High,High
U0218,0.05,9085.34,8995.13,90.21,0.0,0.0,Medium,Medium
U0219,0.43,11155.48,10204.08,951.4,915.48,0.0,High,Medium
U0220,0.37,6204.2,5744.98,459.22,1084.2,624.98,High,High
U0221,0.46,6658.07,6046.28,611.79,0.0,0.0,Low,Low
U0222,0.41,7434.52,6822.87,611.65,0.0,0.0,Low,Low
U0223,0.37,4073.28,3769.68,303.6,1001.28,697.68,High,High
U0224,0.39,16700.48,15411.48,1289.0,6460.48,5171.48,High,High
U0225,0.19,6859.1,6592.34,266.76,1739.1,1472.34,High,High
U0226,0.22,4618.79,4416.67,202.12,0.0,0.0,Low,Low
U0227,0.3,8167.31,7669.32,497.99,0.0,0.0,Low,Low
U0228,0.45,7094.07,6455.85,638.22,0.0,0.0,Low,Low
U0229,0.16,2119.86,2053.64,66.22,0.0,0.0,Low,Low
U0230,0.11,1998.88,1953.37,45.51,0.0,0.0,Low,Low
U0231,0.43,4689.65,4284.25,405.4,0.0,0.0,Low,Low
U0232,0.3,13094.33,12310.82,783.51,2854.33,2070.82,High,High
U0233,0.36,6095.63,5660.61,435.02,0.0,0.0,Low,Low
U0234,0.06,10352.78,10218.96,133.82,112.78,0.0,High,Medium
U0235,0.28,8154.93,7694.36,460.57,0.0,0.0,Low,Low
U0236,0.31,21731.7,20378.12,1353.58,11491.7,10138.12,High,High
U0237,0.46,7604.7,6908.03,696.67,0.0,0.0,Low,Low
U0238,0.24,1633.79,1554.05,79.74,97.79,18.05,High,High
U0239,0.45,13785.81,12550.77,1235.04,3545.81,2310.77,High,High
U0240,0.33,6157.38,5751.47,405.91,0.0,0.0,Low,Low
U0241,0.35,6067.89,5648.83,419.06,0.0,0.0,Low,Low
U0242,0.4,14536.55,13376.27,1160.28,4296.55,3136.27,High,High
U0243,0.42,2330.18,2135.44,194.74,0.0,0.0,Low,Low
U0244,0.27,7919.04,7492.54,426.5,0.0,0.0,Low,Low
U0245,0.32,11662.55,10916.29,746.26,1422.55,676.29,High,High
U0246,0.43,15943.81,14560.83,1382.98,5703.81,4320.83,High,High
U0247,0.47,8314.86,7537.21,777.65,0.0,0.0,Low,Low
U0248,0.2,9825.36,9427.37,397.99,0.0,0.0,Medium,Medium
U0249,0.38,9792.1,9054.41,737.69,0.0,0.0,Medium,Medium
U0250,0.31,21213.52,19882.36,1331.16,10973.52,9642.36,High,High
U0251,0.15,11439.06,11086.06,353.0,1199.06,846.06,High,High
U0252,0.42,8171.4,7485.37,686.03,0.0,0.0,Low,Low
U0253,0.4,3336.99,3068.09,268.9,0.0,0.0,Low,Low
U0254,0.47,3152.54,2859.29,293.25,0.0,0.0,Low,Low
U0255,0.51,7443.56,6686.56,757.0,0.0,0.0,Low,Low
U0256,0.37,10413.08,9650.38,762.7,173.08,0.0,High,Medium
U0257,0.35,8521.87,7927.93,593.94,0.0,0.0,Low,Low
U0258,0.49,7604.58,6855.57,749.01,0.0,0.0,Low,Low
U0259,0.33,7944.81,7413.94,530.87,0.0,0.0,Low,Low
U0260,0.44,7939.75,7241.39,698.36,0.0,0.0,Low,Low
U0261,0.28,18506.82,17472.45,1034.37,8266.82,7232.45,High,High
U0262,0.2,2636.05,2530.18,105.87,588.05,482.18,High,High
U0263,0.19,8513.37,8198.26,315.11,0.0,0.0,Low,Low
U0264,0.42,17274.34,15820.27,1454.07,7034.34,5580.27,High,High
U0265,0.39,9304.66,8583.84,720.82,0.0,0.0,Medium,Low
U0266,0.48,7156.81,6471.23,685.58,0.0,0.0,Low,Low
U0267,0.3,12880.76,12116.57,764.19,2640.76,1876.57,High,High
U0268,0.37,10697.46,9912.01,785.45,457.46,0.0,High,Medium
U0269,0.47,20064.86,18191.39,1873.47,9824.86,7951.39,High,High
U0270,0.17,9101.32,8790.48,310.84,0.0,0.0,Medium,Medium
U0271,0.06,7421.71,7339.78,81.93,0.0,0.0,Low,Low
U0272,0.47,9376.83,8493.27,883.56,0.0,0.0,Medium,Low
U0273,0.2,10683.86,10253.61,430.25,443.86,13.61,High,High
U0274,0.41,5399.13,4955.89,443.24,0.0,0.0,Low,Low
U0275,0.29,11904.07,11205.63,698.44,1664.07,965.63,High,High
U0276,0.35,4472.61,4162.26,310.35,0.0,0.0,Medium,Low
U0277,0.18,2182.88,2102.61,80.27,134.88,54.61,High,High
U0278,0.39,6415.9,5921.72,494.18,0.0,0.0,Low,Low
U0279,0.48,7032.03,6353.36,678.67,1912.03,1233.36,High,High
U0280,0.14,16195.08,15757.39,437.69,5955.08,5517.39,High,High
U0281,0.33,6274.87,5855.64,419.23,0.0,0.0,Low,Low
U0282,0.28,13262.34,12512.34,750.0,3022.34,2272.34,High,High
U0283,0.1,9087.7,8902.76,184.94,0.0,0.0,Medium,Medium
U0284,0.36,5453.54,5059.16,394.38,0.0,0.0,Low,Low
U0285,0.41,9583.37,8802.5,780.87,0.0,0.0,Medium,Medium
U0286,0.32,5080.25,4759.95,320.3,0.0,0.0,Low,Low
U0287,0.41,6532.7,6001.06,531.64,0.0,0.0,Low,Low
U0288,0.27,8724.71,8255.9,468.81,0.0,0.0,Medium,Low
U0289,0.33,11885.01,11103.62,781.39,1645.01,863.62,High,High
U0290,0.45,4828.26,4394.37,433.89,0.0,0.0,Low,Low
U0291,0.51,4131.36,3710.67,420.69,0.0,0.0,Low,Low
U0292,0.29,10969.13,10336.2,632.93,729.13,96.2,High,High
U0293,0.49,6423.14,5791.24,631.9,0.0,0.0,Low,Low
U0294,0.42,2700.93,2472.8,228.13,0.0,0.0,Low,Low
U0295,0.41,2328.75,2136.58,192.17,0.0,0.0,Low,Low
U0296,0.47,8403.04,7614.66,788.38,0.0,0.0,Low,Low
U0297,0.42,12931.19,11857.13,1074.06,2691.19,1617.13,High,High
U0298,0.11,2309.02,2256.89,52.13,0.0,0.0,Low,Low
U0299,0.47,9450.62,8566.54,884.08,0.0,0.0,Medium,Low
U0300,0.44,9109.09,8309.3,799.79,0.0,0.0,Medium,Low
U0301,0.38,3257.31,3008.1,249.21,0.0,0.0,Low,Low
U0302,0.47,14245.29,12902.11,1343.18,4005.29,2662.11,High,High
U0303,0.35,8194.66,7616.16,578.5,3074.66,2496.16,High,High
U0304,0.11,10953.87,10715.53,238.34,713.87,475.53,High,High
U0305,0.32,15135.32,14153.06,982.26,4895.32,3913.06,High,High
U0306,0.12,7925.61,7741.1,184.51,2805.61,2621.1,High,High
U0307,0.38,6901.86,6382.05,519.81,0.0,0.0,Low,Low
U0308,0.44,8285.21,7558.63,726.58,0.0,0.0,Low,Low
U0309,0.06,8924.13,8813.72,110.41,0.0,0.0,Medium,Medium
U0310,0.17,4169.45,4026.13,143.32,0.0,0.0,Low,Low
U0311,0.22,3902.22,3733.89,168.33,0.0,0.0,Low,Low
U0312,0.4,2156.86,1986.19,170.67,0.0,0.0,Low,Low
U0313,0.41,9221.85,8468.81,753.04,0.0,0.0,Medium,Low
U0314,0.45,15953.77,14518.07,1435.7,5713.77,4278.07,High,High
U0315,0.46,6152.35,5587.92,564.43,0.0,0.0,Low,Low
U0316,0.49,5421.03,4885.65,535.38,0.0,0.0,Low,Low
U0317,0.48,6952.62,6282.69,669.93,0.0,0.0,Low,Low
U0318,0.43,6334.56,5789.63,544.93,0.0,0.0,Low,Low
U0319,0.2,3915.71,3760.63,155.08,0.0,0.0,Low,Low
U0320,0.48,6385.22,5768.25,616.97,0.0,0.0,Low,Low
U0321,0.18,6998.51,6749.58,248.93,0.0,0.0,Low,Low
U0322,0.46,17197.96,15600.22,1597.74,6957.96,5360.22,High,High
U0323,0.39,14227.85,13116.16,1111.69,3987.85,2876.16,High,High
U0324,0.42,8808.99,8061.64,747.35,0.0,0.0,Medium,Low
U0325,0.45,5849.65,5318.92,530.73,729.65,198.92,High,High
U0326,0.38,3846.39,3551.67,294.72,0.0,0.0,Low,Low
U0327,0.03,8120.97,8072.53,48.44,0.0,0.0,Low,Low
U0328,0.43,14157.71,12950.25,1207.46,3917.71,2710.25,High,High
U0329,0.38,10834.26,10018.36,815.9,594.26,0.0,High,Medium
U0330,0.39,8068.14,7430.88,637.26,0.0,0.0,Low,Low
U0331,0.39,5461.34,5034.73,426.61,341.34,0.0,High,Medium
U0332,0.38,5872.39,5429.29,443.1,0.0,0.0,Low,Low
U0333,0.2,1845.94,1770.81,75.13,0.0,0.0,Medium,Medium
U0334,0.36,3897.62,3618.54,279.08,0.0,0.0,Low,Low
U0335,0.39,1862.85,1715.83,147.02,0.0,0.0,Low,Low
U0336,0.32,10336.56,9677.9,658.66,96.56,0.0,High,Medium
U0337,0.38,3572.14,3301.5,270.64,1524.14,1253.5,High,High
U0338,0.44,4722.32,4302.66,419.66,0.0,0.0,Low,Low
U0339,0.12,12742.16,12423.83,318.33,2502.16,2183.83,High,High
U0340,0.4,12285.62,11305.96,979.66,2045.62,1065.96,High,High
U0341,0.49,8913.4,8040.54,872.86,0.0,0.0,Medium,Low
U0342,0.11,4423.71,4327.19,96.52,0.0,0.0,Low,Low
U0343,0.31,14071.17,13199.8,871.37,3831.17,2959.8,High,High
U0344,0.33,7326.19,6841.33,484.86,0.0,0.0,Low,Low
U0345,0.35,4064.86,3780.38,284.48,0.0,0.0,Low,Low
U0346,0.16,10582.24,10248.69,333.55,342.24,8.69,High,High
U0347,0.4,6187.01,5698.14,488.87,0.0,0.0,Low,Low
U0348,0.48,9183.95,8300.59,883.36,0.0,0.0,Medium,Low
U0349,0.2,2160.18,2073.88,86.3,0.0,0.0,Low,Low
U0350,0.18,1943.22,1872.01,71.21,0.0,0.0,Low,Low
U0351,0.11,10411.46,10172.96,238.5,171.46,0.0,High,Medium
U0352,0.47,5226.54,4731.77,494.77,0.0,0.0,Low,Low
U0353,0.36,4297.02,3991.78,305.24,0.0,0.0,Low,Low
U0354,0.41,3150.55,2895.06,255.49,0.0,0.0,Low,Low
U0355,0.37,5235.61,4847.09,388.52,0.0,0.0,Low,Low
U0356,0.21,6956.78,6669.42,287.36,0.0,0.0,Low,Low
U0357,0.36,5134.27,4760.39,373.88,0.0,0.0,Low,Low
U0358,0.52,14341.07,12855.71,1485.36,4101.07,2615.71,High,High
U0359,0.53,3397.22,3037.0,360.22,0.0,0.0,Low,Low
U0360,0.13,11718.42,11413.78,304.64,1478.42,1173.78,High,High
U0361,0.46,7316.81,6648.91,667.9,0.0,0.0,Low,Low
U0362,0.23,2472.99,2358.86,114.13,0.0,0.0,Low,Low
U0363,0.1,4813.51,4717.4,96.11,1741.51,1645.4,High,High
U0364,0.49,16483.54,14873.86,1609.68,6243.54,4633.86,High,High
U0365,0.48,6513.17,5882.56,630.61,0.0,0.0,Low,Low
U0366,0.49,8223.06,7413.4,809.66,0.0,0.0,Low,Low
U0367,0.42,6208.87,5689.31,519.56,0.0,0.0,Low,Low
U0368,0.37,5374.49,4979.08,395.41,0.0,0.0,Low,Low
U0369,0.41,21589.55,19834.28,1755.27,11349.55,9594.28,High,High
U0370,0.3,13350.37,12539.19,811.18,3110.37,2299.19,High,High
U0371,0.39,7218.51,6650.16,568.35,0.0,0.0,Low,Low
U0372,0.14,1668.57,1620.27,48.3,0.0,0.0,Low,Low
U0373,0.44,8203.76,7480.26,723.5,0.0,0.0,Low,Low
U0374,0.46,5429.07,4931.79,497.28,0.0,0.0,Low,Low
U0375,0.18,5054.17,4867.55,186.62,0.0,0.0,Medium,Medium
U0376,0.45,3420.58,3112.02,308.56,0.0,0.0,Low,Low
U0377,0.39,5593.16,5158.46,434.7,0.0,0.0,Low,Low
U0378,0.47,9021.15,8167.77,853.38,0.0,0.0,Medium,Low
U0379,0.48,4771.56,4316.66,454.9,1699.56,1244.66,High,High
U0380,0.32,3982.11,3728.47,253.64,910.11,656.47,High,High
U0381,0.12,1260.4,1230.95,29.45,0.0,0.0,Low,Low
U0382,0.42,6027.42,5522.56,504.86,0.0,0.0,Low,Low
