User_ID,Age,Occupation,Plan_GB,Plan_Price,Network_Type
U0346,24.0,Student,10.0,799,4G
U0347,65.0,Self-Employed,10.0,799,4G
U0348,43.0,Working Professional,10.0,799,5G
U0349,70.0,Retired,3.0,349,4G
U0350,44.0,Working Professional,3.0,349,4G
U0351,38.0,Working Professional,10.0,799,4G
U0352,18.0,Self-Employed,10.0,799,4G
U0353,30.0,Homemaker,10.0,799,4G
U0354,37.0,Self-Employed,5.0,499,5G
U0355,75.0,Retired,10.0,799,5G
U0356,65.0,Self-Employed,10.0,799,4G
U0357,23.0,Homemaker,10.0,799,4G
U0358,17.0,Student,10.0,799,5G
U0359,20.0,Self-Employed,5.0,499,4G
U0360,51.0,Working Professional,10.0,799,5G
U0361,26.0,Working Professional,10.0,799,5G
U0362,60.0,Self-Employed,3.0,349,4G
U0363,60.0,Retired,3.0,349,4G
U0364,65.0,Retired,10.0,799,4G
U0365,21.0,Student,10.0,799,4G
U0366,41.0,Self-Employed,10.0,799,4G
U0367,39.0,Self-Employed,10.0,799,4G
U0368,30.0,Working Professional,10.0,799,5G
U0369,18.0,Student,10.0,799,4G
U0370,17.0,Student,10.0,799,4G
U0371,32.0,Self-Employed,10.0,799,4G
U0372,31.0,Working Professional,3.0,349,5G
U0373,74.0,Retired,10.0,799,4G
U0374,27.0,Working Professional,10.0,799,5G
U0375,67.0,Retired,5.0,499,5G
U0376,32.0,Working Professional,5.0,499,5G
U0377,52.0,Self-Employed,10.0,799,4G
U0378,23.0,Student,10.0,799,4G
U0379,33.0,Working Professional,3.0,349,5G
U0380,29.0,Homemaker,3.0,349,4G
U0381,74.0,Retired,1.5,199,5G
U0382,62.0,Homemaker,10.0,799,4G
U0383,17.0,Student,5.0,499,4G
U0384,47.0,Working Professional,10.0,799,4G
U0385,22.0,Student,10.0,799,5G
U0386,22.0,Student,10.0,799,5G
U0387,19.0,Self-Employed,10.0,799,4G
U0388,57.0,Self-Employed,10.0,799,5G
U0389,60.0,Self-Employed,10.0,799,5G
U0390,23.0,Homemaker,10.0,799,4G
U0391,53.0,Self-Employed,10.0,799,4G
U0392,24.0,Homemaker,10.0,799,4G
U0393,16.0,Student,10.0,799,5G
U0394,17.0,Student,10.0,799,4G
U0395,32.0,Working Professional,10.0,799,5G
U0396,59.0,Homemaker,10.0,799,4G
U0397,23.0,Student,10.0,799,5G
U0398,51.0,Working Professional,10.0,799,4G
U0399,30.0,Self-Employed,5.0,499,4G
U0400,21.0,Student,10.0,799,5G
U0401,47.0,Working Professional,10.0,799,5G
U0402,54.0,Homemaker,10.0,799,4G
U0403,32.0,Self-Employed,5.0,499,5G
U0404,17.0,Student,10.0,799,5G
U0405,40.0,Homemaker,10.0,799,5G
U0406,51.0,Working Professional,10.0,799,4G
U0407,37.0,Homemaker,10.0,799,4G
U0408,25.0,Student,10.0,799,5G
U0409,26.0,Working Professional,10.0,799,4G
U0410,54.0,Working Professional,10.0,799,4G
U0411,18.0,Student,10.0,799,5G
U0412,27.0,Homemaker,3.0,349,4G
U0413,16.0,Student,10.0,799,5G
U0414,25.0,Student,10.0,799,5G
U0415,42.0,Working Professional,10.0,799,5G
U0416,49.0,Self-Employed,10.0,799,4G
U0417,64.0,Homemaker,10.0,799,4G
U0418,58.0,Retired,5.0,499,4G
U0419,16.0,Student,10.0,799,4G
U0420,54.0,Working Professional,10.0,799,5G
U0421,21.0,Student,10.0,799,5G
U0422,34.0,Working Professional,10.0,799,4G
U0423,58.0,Retired,10.0,799,4G
U0424,45.0,Self-Employed,10.0,799,5G
U0425,53.0,Working Professional,10.0,799,4G
U0426,41.0,Working Professional,10.0,799,5G
U0427,59.0,Homemaker,2.0,249,4G
U0428,25.0,Working Professional,10.0,799,5G
U0429,25.0,Student,5.0,499,4G
U0430,36.0,Working Professional,10.0,799,5G
U0431,21.0,Student,10.0,799,4G
U0432,21.0,Student,10.0,799,5G
U0433,19.0,Student,10.0,799,4G
U0434,27.0,Working Professional,10.0,799,5G
U0435,53.0,Working Professional,10.0,799,5G
U0436,32.0,Working Professional,10.0,799,4G
U0437,30.0,Working Professional,5.0,499,4G
U0438,72.0,Retired,5.0,499,4G
U0439,20.0,Self-Employed,10.0,799,4G
U0440,40.0,Working Professional,10.0,799,4G
U0441,17.0,Student,10.0,799,5G
U0442,31.0,Homemaker,10.0,799,4G
U0443,21.0,Student,10.0,799,5G
U0444,36.0,Working Professional,10.0,799,5G
U0445,41.0,Homemaker,10.0,799,4G
U0446,26.0,Working Professional,10.0,799,5G
U0447,31.0,Self-Employed,10.0,799,5G
U0448,49.0,Working Professional,5.0,499,5G
U0449,42.0,Self-Employed,10.0,799,4G
U0450,24.0,Student,10.0,799,4G
U0451,16.0,Student,10.0,799,4G
U0452,50.0,Working Professional,10.0,799,5G
U0453,24.0,Student,10.0,799,5G
U0454,17.0,Homemaker,5.0,499,5G
U0455,20.0,Student,10.0,799,4G
U0456,46.0,Working Professional,10.0,799,5G
U0457,23.0,Self-Employed,5.0,499,4G
U0458,47.0,Self-Employed,10.0,799,5G
U0459,42.0,Working Professional,10.0,799,4G
U0460,35.0,Working Professional,10.0,799,5G
U0461,64.0,Retired,10.0,799,5G
U0462,23.0,Self-Employed,10.0,799,4G
U0463,53.0,Homemaker,5.0,499,4G
U0464,36.0,Homemaker,1.5,199,5G
U0465,16.0,Self-Employed,3.0,349,4G
U0466,21.0,Student,10.0,799,5G
U0467,40.0,Working Professional,10.0,799,5G
U0468,17.0,Student,5.0,499,5G
U0469,25.0,Self-Employed,10.0,799,4G
U0470,67.0,Retired,10.0,799,4G
U0471,39.0,Working Professional,5.0,499,4G
U0472,28.0,Working Professional,10.0,799,5G
U0473,22.0,Student,10.0,799,4G
U0474,65.0,Retired,5.0,499,4G
U0475,17.0,Student,10.0,799,4G
U0476,18.0,Student,10.0,799,5G
U0477,23.0,Student,3.0,349,4G
U0478,16.0,Student,10.0,799,5G
U0479,25.0,Working Professional,10.0,799,5G
U0480,31.0,Working Professional,5.0,499,5G
U0481,37.0,Working Professional,5.0,499,5G
U0482,20.0,Student,10.0,799,5G
U0483,21.0,Student,10.0,799,5G
U0484,28.0,Working Professional,5.0,499,4G
U0485,17.0,Student,5.0,499,5G
U0486,27.0,Self-Employed,10.0,799,4G
U0487,18.0,Student,10.0,799,5G
U0488,26.0,Working Professional,3.0,349,5G
U0489,50.0,Working Professional,10.0,799,5G
U0490,34.0,Working Professional,10.0,799,5G
U0491,19.0,Student,10.0,799,5G
U0492,22.0,Student,10.0,799,5G
U0493,53.0,Homemaker,3.0,349,4G
U0494,25.0,Student,10.0,799,4G
U0495,41.0,Working Professional,3.0,349,4G
U0496,39.0,Working Professional,5.0,499,4G
U0497,46.0,Working Professional,10.0,799,4G
U0498,46.0,Working Professional,3.0,349,5G
U0499,62.0,Self-Employed,10.0,799,4G
U0500,37.0,Homemaker,10.0,799,5G
