User_ID,Date,WiFi_Availability,Mobile_Data_MB,WiFi_Data_MB,YouTube_MB,Instagram_MB,WhatsApp_MB,Netflix_MB,Gaming_MB,Browsing_MB,Work_Study_MB,Screen_Time_Hours,Is_Weekend,Is_Holiday
U0001,2025-02-20,1,128.52,391.27,19.15,14.59,9.76,35.12,12.85,12.2,14.57,2.95,0,0
U0001,2025-02-21,1,161.7,356.56,21.96,27.91,6.84,42.86,8.14,29.56,11.5,2.73,0,0
U0001,2025-02-22,0,414.91,8.26,101.83,80.72,12.07,85.75,51.41,40.79,9.14,3.59,1,0
U0001,2025-02-23,0,412.52,4.65,80.65,32.16,9.46,127.53,52.51,53.13,24.09,3.71,1,0
U0001,2025-02-24,1,184.94,285.32,33.35,20.88,7.2,38.69,18.99,33.31,17.73,4.83,0,0
U0001,2025-02-25,1,129.35,232.38,23.12,13.0,8.95,30.65,12.17,15.36,15.75,3.02,0,0
U0001,2025-02-26,0,314.28,12.14,47.88,29.52,12.0,99.49,27.34,37.04,35.86,2.6,0,0
U0001,2025-02-27,1,152.26,449.7,26.41,14.92,7.53,32.28,11.81,28.86,18.27,3.27,0,0
U0001,2025-02-28,0,328.62,25.15,73.03,40.45,9.18,89.68,20.48,43.11,26.39,2.92,0,0
U0001,2025-03-01,1,145.91,209.47,35.53,17.03,5.3,31.09,16.45,26.18,2.65,3.35,1,0
U0001,2025-03-02,1,96.03,303.99,16.42,12.54,7.32,14.9,16.16,15.86,5.14,5.53,1,0
U0001,2025-03-03,1,230.26,515.64,44.38,35.49,12.91,46.99,23.56,32.68,15.82,4.29,0,0
U0001,2025-03-04,0,321.51,16.58,59.17,40.24,8.53,80.05,40.59,45.83,21.37,2.87,0,0
U0001,2025-03-05,1,146.26,327.89,37.53,26.53,8.24,21.85,12.28,14.67,13.46,3.69,0,0
U0001,2025-03-06,0,372.45,25.01,57.01,61.31,13.13,78.23,50.77,40.44,41.77,3.16,0,0
U0001,2025-03-07,1,179.83,467.85,28.46,24.88,11.43,42.49,19.03,26.86,12.3,2.74,0,0
U0001,2025-03-08,1,115.01,340.5,21.74,9.25,6.91,23.26,15.67,26.52,2.46,3.32,1,0
U0001,2025-03-09,0,532.27,21.16,62.27,63.28,11.66,269.39,38.91,32.81,11.37,4.59,1,0
U0001,2025-03-10,1,115.28,488.33,17.9,15.08,5.65,23.06,6.7,28.84,8.83,2.92,0,0
U0001,2025-03-11,1,147.02,267.67,22.83,28.55,6.44,36.53,13.64,16.81,10.47,3.36,0,0
U0001,2025-03-12,1,198.89,389.63,34.49,26.24,3.37,59.68,11.07,24.33,23.81,3.84,0,0
U0001,2025-03-13,0,211.38,29.51,41.94,32.81,8.33,57.96,20.12,19.21,14.11,1.57,0,0
U0001,2025-03-14,1,89.82,293.96,23.21,12.0,7.6,9.42,8.69,18.38,3.34,4.24,0,1
U0001,2025-03-15,1,153.62,376.91,17.94,15.97,7.93,54.87,15.36,22.16,7.1,3.41,1,0
U0001,2025-03-16,0,418.12,6.78,108.85,65.51,15.31,109.89,29.92,41.52,13.68,4.5,1,0
U0001,2025-03-17,0,286.99,15.68,48.64,35.53,7.39,62.23,31.91,35.88,42.45,2.77,0,0
U0001,2025-03-18,0,302.89,20.56,62.47,34.08,14.52,82.99,26.25,36.27,22.08,3.59,0,0
U0001,2025-03-19,0,292.21,14.91,66.57,37.67,11.48,81.2,11.76,23.0,37.15,3.15,0,0
U0001,2025-03-20,0,399.25,25.64,36.45,59.93,14.69,144.1,36.7,33.9,41.55,3.01,0,0
U0001,2025-03-21,1,182.15,546.11,17.0,23.9,8.15,46.92,12.18,28.96,30.47,3.52,0,0
U0001,2025-03-22,1,222.39,424.4,50.02,28.21,7.21,57.63,19.36,34.43,7.75,3.48,1,0
U0001,2025-03-23,0,593.59,1.16,165.33,73.04,16.1,107.39,120.18,48.58,15.48,5.03,1,0
U0001,2025-03-24,0,299.67,19.36,45.29,75.19,15.87,47.02,32.19,29.88,30.25,2.98,0,0
U0001,2025-03-25,0,379.56,20.67,53.26,69.42,19.2,73.05,42.54,61.17,30.56,4.25,0,0
U0001,2025-03-26,1,197.51,570.25,17.79,32.43,11.12,49.05,13.76,30.28,27.28,3.86,0,0
U0001,2025-03-27,1,133.42,231.79,10.58,28.7,5.14,22.9,10.03,33.73,11.67,3.29,0,0
U0001,2025-03-28,1,171.99,472.59,28.39,24.52,6.9,45.39,20.83,17.67,14.53,3.58,0,0
U0001,2025-03-29,0,592.34,12.13,103.82,82.14,32.69,190.07,52.12,60.55,23.56,5.23,1,0
U0001,2025-03-30,1,152.96,518.11,26.4,20.61,9.07,32.59,16.44,30.21,5.39,4.35,1,0
U0001,2025-03-31,0,461.21,17.37,133.33,51.06,10.3,136.57,37.63,36.58,18.85,4.49,0,1
U0001,2025-04-01,1,245.72,544.42,54.89,20.57,12.16,63.69,17.3,31.6,25.87,3.91,0,0
U0001,2025-04-02,1,175.17,212.15,43.94,26.9,7.3,35.41,10.86,20.32,16.43,2.39,0,0
U0001,2025-04-03,1,98.71,439.68,13.64,12.01,10.09,18.18,6.23,19.7,10.95,2.9,0,0
U0001,2025-04-04,0,368.41,15.55,82.62,48.82,13.82,97.96,26.05,46.19,23.47,3.36,0,0
U0001,2025-04-05,0,541.12,11.94,131.64,82.03,8.68,177.43,40.92,41.52,15.61,4.29,1,0
U0001,2025-04-06,1,155.64,289.34,27.1,18.43,6.59,36.73,17.08,32.12,5.14,3.83,1,0
U0001,2025-04-07,1,140.87,329.89,25.78,17.1,3.64,46.02,10.86,17.47,8.72,4.2,0,0
U0001,2025-04-08,1,127.73,314.66,19.34,16.76,7.05,25.27,7.67,28.63,12.8,4.57,0,0
U0001,2025-04-09,1,161.34,480.45,29.25,16.82,7.03,58.24,9.54,20.15,7.39,3.56,0,0
U0001,2025-04-10,1,128.23,404.51,17.86,22.32,6.7,20.24,15.68,17.4,17.77,4.19,0,0
U0001,2025-04-11,0,438.25,20.18,76.85,69.61,15.52,88.41,45.47,71.78,35.54,4.39,0,0
U0001,2025-04-12,0,372.93,17.23,83.47,61.1,10.97,54.92,56.28,55.58,20.79,4.02,1,0
U0001,2025-04-13,1,158.41,614.91,40.77,21.4,7.37,40.88,15.42,15.59,4.3,3.93,1,0
U0001,2025-04-14,1,170.18,611.25,28.4,22.45,4.34,45.95,13.41,33.79,8.22,3.61,0,1
U0001,2025-04-15,1,159.25,395.98,37.05,21.65,6.47,31.23,12.54,23.64,13.94,3.32,0,0
U0001,2025-04-16,1,138.86,320.75,23.71,23.97,5.39,19.49,9.59,30.72,14.88,4.15,0,0
U0001,2025-04-17,1,159.13,294.32,26.25,24.3,8.16,21.78,16.1,39.44,10.38,3.74,0,0
U0001,2025-04-18,0,337.94,13.95,52.53,57.31,12.45,71.82,44.08,39.69,33.04,3.78,0,0
U0001,2025-04-19,1,144.42,462.86,56.48,12.25,6.26,22.98,13.74,16.76,4.41,4.33,1,0
U0001,2025-04-20,0,410.66,21.83,89.68,52.47,11.31,111.38,43.29,40.24,29.42,3.71,1,0
U0001,2025-04-21,1,150.93,555.34,29.26,19.17,3.46,32.87,12.78,24.19,17.13,2.86,0,0
U0001,2025-04-22,0,505.91,26.74,90.55,67.92,11.15,194.15,29.05,42.51,30.11,3.87,0,0
U0001,2025-04-23,0,303.09,20.11,71.79,37.87,10.0,42.69,25.38,27.94,63.17,3.16,0,0
U0001,2025-04-24,1,127.61,320.63,22.68,14.27,4.78,25.49,12.71,23.22,14.24,3.82,0,0
U0001,2025-04-25,1,189.98,599.44,57.87,20.91,7.39,41.44,19.48,18.13,9.57,3.48,0,0
U0001,2025-04-26,0,650.16,1.97,128.63,67.68,11.82,255.23,40.81,81.37,12.61,4.57,1,0
U0001,2025-04-27,1,209.21,664.53,48.94,20.82,9.95,61.36,18.44,24.27,8.68,3.74,1,0
U0001,2025-04-28,1,106.18,197.66,16.18,14.41,5.84,24.88,6.97,18.54,10.88,3.73,0,0
U0001,2025-04-29,1,83.4,300.18,10.79,8.54,5.28,22.64,7.69,15.62,6.16,3.24,0,0
U0001,2025-04-30,1,175.76,412.8,38.5,29.98,7.39,32.83,19.21,22.45,11.34,3.41,0,0
U0001,2025-05-01,0,371.36,8.73,88.81,85.09,7.73,73.08,37.44,38.76,10.74,3.7,0,1
U0001,2025-05-02,0,289.33,29.6,63.67,32.59,9.96,76.64,31.88,27.74,23.7,3.18,0,0
U0001,2025-05-03,1,219.97,452.65,33.25,36.48,10.65,71.7,25.72,20.2,4.37,4.77,1,0
U0001,2025-05-04,0,326.51,25.27,136.49,33.08,12.62,53.74,13.78,33.9,16.77,2.45,1,0
U0001,2025-05-05,0,397.73,13.4,81.35,42.02,12.95,98.98,45.22,51.24,34.16,3.46,0,0
U0001,2025-05-06,0,435.52,14.75,93.5,62.31,21.25,64.72,57.24,51.71,49.95,4.05,0,0
U0001,2025-05-07,1,233.73,586.75,39.21,25.86,3.75,66.78,27.34,27.97,24.13,4.12,0,0
U0001,2025-05-08,1,161.78,347.64,39.65,28.6,7.2,39.78,5.59,18.69,6.87,2.45,0,0
U0001,2025-05-09,1,195.0,494.47,33.89,26.01,10.69,48.2,13.74,33.17,13.7,3.57,0,0
U0001,2025-05-10,1,137.15,385.21,16.4,11.0,9.47,51.86,15.68,18.56,3.21,2.56,1,0
U0001,2025-05-11,1,170.16,405.4,54.56,18.44,6.38,37.51,9.18,26.44,4.04,4.03,1,0
U0001,2025-05-12,1,132.62,292.7,20.88,22.34,4.81,16.97,15.88,17.86,23.26,3.88,0,0
U0001,2025-05-13,1,146.49,473.97,34.52,21.71,9.1,18.23,11.65,22.77,16.79,3.99,0,0
U0001,2025-05-14,0,468.11,12.68,57.38,70.49,24.33,96.82,68.03,33.68,79.93,4.81,0,0
U0001,2025-05-15,1,207.62,620.99,41.47,12.28,8.19,55.42,13.94,21.75,37.96,2.93,0,0
U0001,2025-05-16,0,357.08,21.12,74.96,22.03,13.79,141.37,16.01,30.78,29.58,2.92,0,0
U0001,2025-05-17,1,170.9,416.6,24.69,20.69,9.55,48.14,24.38,23.5,6.27,3.3,1,0
U0001,2025-05-18,1,125.69,262.46,15.72,28.36,10.21,26.85,8.37,22.35,3.77,4.45,1,0
U0001,2025-05-19,1,213.33,547.47,24.07,24.63,6.41,59.63,35.48,28.11,17.94,3.89,0,0
U0001,2025-05-20,0,246.26,26.04,46.17,39.73,6.02,35.98,37.26,37.54,23.85,2.51,0,0
U0001,2025-05-21,0,434.57,1.62,80.23,68.17,11.66,102.78,19.57,50.22,67.18,4.78,0,0
U0001,2025-05-22,1,137.3,352.04,18.84,18.92,8.11,36.58,15.97,16.8,11.09,3.17,0,0
U0001,2025-05-23,0,374.06,4.37,74.87,50.62,14.19,66.32,28.17,62.07,47.91,3.81,0,0
U0001,2025-05-24,1,162.84,471.29,32.42,23.1,7.27,30.16,20.66,31.1,5.11,4.39,1,0
U0001,2025-05-25,1,154.23,407.45,36.21,22.57,4.81,28.64,11.93,35.03,2.71,4.15,1,0
U0001,2025-05-26,1,142.47,536.89,30.15,23.21,4.91,28.85,11.91,12.12,19.9,4.11,0,0
U0001,2025-05-27,1,215.36,645.74,39.88,31.96,3.42,62.88,16.92,29.38,13.69,3.55,0,0
U0001,2025-05-28,1,269.24,500.13,63.33,27.77,9.23,54.63,19.63,47.64,25.47,3.95,0,0
U0001,2025-05-29,0,467.91,2.08,162.92,64.83,9.3,99.69,24.55,40.72,28.47,3.89,0,0
U0001,2025-05-30,1,140.91,281.35,23.37,29.25,6.76,18.36,8.29,22.64,20.96,3.94,0,0
U0001,2025-05-31,1,252.49,453.79,35.17,25.46,8.51,100.8,12.38,36.79,13.17,3.87,1,0
U0001,2025-06-01,1,108.68,316.21,26.85,20.44,4.01,17.77,11.01,15.6,4.3,3.85,1,0
U0001,2025-06-02,1,182.53,492.17,52.11,23.48,7.93,35.35,17.94,13.51,17.61,4.54,0,0
U0001,2025-06-03,1,185.83,595.86,26.53,30.58,13.12,37.92,24.8,21.11,16.91,4.83,0,0
U0001,2025-06-04,0,383.0,4.93,47.0,54.06,9.08,105.95,45.5,55.68,35.09,3.07,0,0
U0001,2025-06-05,0,405.39,18.38,43.85,45.18,18.88,126.78,42.37,62.11,33.79,3.89,0,0
U0001,2025-06-06,1,132.61,463.69,33.04,22.64,9.81,12.77,9.5,22.54,11.69,4.05,0,0
U0001,2025-06-07,0,398.38,19.21,68.57,108.06,13.9,70.95,50.89,36.64,17.49,4.37,1,1
U0001,2025-06-08,1,237.77,556.47,29.79,51.71,6.82,88.29,7.2,30.46,4.48,4.14,1,0
U0001,2025-06-09,1,170.92,328.29,27.87,12.66,8.44,32.9,21.77,36.07,17.54,3.5,0,0
U0001,2025-06-10,1,131.04,492.56,28.8,15.97,8.22,21.71,16.42,18.51,10.92,3.84,0,0
U0001,2025-06-11,1,181.89,583.73,24.37,19.21,10.19,36.49,37.47,24.73,14.88,3.16,0,0
U0001,2025-06-12,1,132.47,395.22,25.49,10.13,11.82,33.03,6.76,21.15,5.67,3.44,0,0
U0001,2025-06-13,0,363.17,27.22,42.01,40.87,8.36,133.84,36.88,33.13,39.03,3.01,0,0
U0001,2025-06-14,1,152.61,425.06,37.51,11.32,7.31,38.08,15.79,23.97,6.42,3.98,1,0
U0001,2025-06-15,0,515.6,3.71,75.29,52.69,10.29,113.75,69.62,132.98,19.73,4.1,1,0
U0001,2025-06-16,0,274.3,28.93,66.13,35.77,22.82,34.58,22.04,43.69,27.34,3.31,0,0
U0001,2025-06-17,0,387.98,13.7,53.97,91.58,22.99,40.51,50.23,63.02,34.64,4.16,0,0
U0001,2025-06-18,0,315.35,14.61,58.57,39.02,11.18,43.34,60.28,25.5,52.23,3.73,0,0
U0001,2025-06-19,0,358.33,18.72,73.26,64.51,6.95,92.6,26.83,38.66,26.85,3.95,0,0
U0001,2025-06-20,1,137.93,407.98,21.45,18.65,9.37,24.17,13.78,32.43,7.04,3.9,0,0
U0001,2025-06-21,1,184.19,455.1,35.53,21.88,9.57,44.86,18.64,30.62,8.36,3.06,1,0
U0001,2025-06-22,1,198.19,612.52,64.29,23.09,10.02,41.96,13.03,25.41,4.53,4.94,1,0
U0001,2025-06-23,0,346.22,6.58,104.51,37.11,10.45,73.57,20.7,32.7,39.5,3.15,0,0
U0001,2025-06-24,1,141.03,422.3,12.68,22.27,5.96,37.53,12.31,28.2,10.8,3.71,0,0
U0001,2025-06-25,1,136.54,470.22,16.75,30.01,13.91,30.45,10.68,15.11,8.71,3.82,0,0
U0001,2025-06-26,0,349.41,9.58,71.01,41.84,15.83,92.5,22.4,44.92,32.96,3.92,0,0
U0001,2025-06-27,1,129.87,443.38,13.64,23.35,9.0,23.64,20.04,18.56,11.25,4.04,0,0
U0001,2025-06-28,0,839.07,19.68,97.67,93.5,16.66,426.12,44.95,72.14,20.92,4.99,1,0
U0001,2025-06-29,1,214.18,387.49,48.16,28.77,7.7,54.23,20.41,31.62,6.16,4.28,1,0
U0002,2025-01-01,1,45.58,263.36,3.12,5.7,7.42,0.53,4.2,19.25,1.71,1.47,0,1
U0002,2025-01-02,1,44.14,299.41,3.08,7.02,6.24,0.62,3.66,17.24,2.74,1.96,0,0
U0002,2025-01-03,1,22.09,164.45,2.67,1.9,1.93,0.6,2.2,8.84,2.18,2.11,0,0
U0002,2025-01-04,1,67.23,539.37,5.49,16.83,3.92,1.9,8.72,21.84,3.16,3.05,1,0
U0002,2025-01-05,1,43.7,326.29,5.76,6.86,5.46,0.94,7.95,12.3,0.93,2.57,1,0
U0002,2025-01-06,1,38.24,217.0,2.96,7.35,4.15,0.55,5.92,9.69,4.57,2.44,0,0
U0002,2025-01-07,0,145.68,6.47,12.88,32.47,6.86,4.87,22.25,29.8,24.9,3.52,0,0
U0002,2025-01-08,0,139.69,17.41,23.06,34.02,7.5,2.84,16.99,27.75,16.36,3.44,0,0
U0002,2025-01-09,1,33.73,411.86,2.23,5.93,3.05,0.35,3.74,11.24,4.49,2.04,0,0
U0002,2025-01-10,1,37.7,234.07,5.68,4.16,4.34,1.36,9.93,6.22,2.99,2.37,0,0
U0002,2025-01-11,1,46.49,527.61,7.26,5.69,2.14,1.37,12.79,12.17,1.35,2.71,1,0
U0002,2025-01-12,0,92.84,4.33,15.48,14.43,5.52,2.0,28.66,15.44,3.88,1.96,1,0
U0002,2025-01-13,0,96.76,11.2,9.52,15.83,6.22,2.32,21.74,20.59,12.8,1.82,0,0
U0002,2025-01-14,1,45.36,542.11,6.33,4.32,3.34,0.52,8.35,17.28,1.6,2.68,0,1
U0002,2025-01-15,1,44.07,277.26,5.46,6.8,3.57,0.5,7.04,11.25,5.94,2.73,0,0
U0002,2025-01-16,0,67.24,13.42,7.56,11.69,5.52,1.21,9.02,18.93,7.93,1.45,0,0
U0002,2025-01-17,0,119.94,10.2,12.06,20.02,5.93,2.52,18.7,40.08,11.03,2.38,0,0
U0002,2025-01-18,1,56.11,500.21,5.94,9.9,5.85,0.96,8.13,20.04,0.8,2.41,1,0
U0002,2025-01-19,0,99.23,15.24,13.11,23.21,8.84,2.48,15.72,19.18,8.75,2.67,1,0
U0002,2025-01-20,1,33.16,388.61,3.26,6.02,3.61,0.61,3.37,8.44,5.19,1.73,0,0
U0002,2025-01-21,1,29.01,220.84,3.06,3.58,5.21,0.61,3.84,8.32,2.06,1.8,0,0
U0002,2025-01-22,0,94.4,26.68,7.28,20.91,3.59,1.11,12.76,28.35,12.85,1.42,0,0
U0002,2025-01-23,1,37.7,316.73,2.36,3.3,6.95,0.25,5.1,13.87,2.86,0.93,0,0
U0002,2025-01-24,1,59.18,418.91,9.07,9.16,4.21,1.52,9.19,12.95,8.35,3.35,0,0
U0002,2025-01-25,0,102.09,4.82,14.87,13.78,7.32,1.97,31.17,21.3,3.51,2.33,1,0
U0002,2025-01-26,0,131.39,14.23,15.03,20.62,8.92,3.27,30.4,36.1,6.54,3.54,1,1
U0002,2025-01-27,1,49.78,402.18,5.72,5.84,4.47,0.95,5.31,15.18,8.34,1.71,0,0
U0002,2025-01-28,1,56.21,531.91,11.96,8.88,4.68,1.78,9.27,11.27,3.86,2.36,0,0
U0002,2025-01-29,0,156.03,1.78,19.97,24.81,9.62,8.84,18.37,52.2,9.74,3.49,0,0
U0002,2025-01-30,1,39.61,245.22,3.86,5.22,5.9,0.72,4.33,14.06,2.34,1.42,0,0
U0002,2025-01-31,0,93.65,5.92,9.26,16.46,6.47,1.29,17.13,24.55,11.0,1.87,0,0
U0002,2025-02-01,0,105.99,29.29,13.76,19.48,8.11,3.83,17.52,29.04,5.79,2.31,1,0
U0002,2025-02-02,1,45.81,435.29,4.34,7.11,3.5,0.88,5.11,19.42,1.8,2.25,1,0
U0002,2025-02-03,1,60.56,640.46,11.33,8.85,4.7,1.25,9.2,13.78,6.6,2.91,0,0
U0002,2025-02-04,0,91.61,8.8,6.63,19.86,7.47,2.47,18.34,21.93,7.59,2.48,0,0
U0002,2025-02-05,0,80.39,18.17,6.18,15.3,6.21,1.74,20.08,13.51,10.93,1.4,0,0
U0002,2025-02-06,1,48.58,371.31,4.44,7.45,5.93,1.08,10.35,10.0,5.44,2.83,0,0
U0002,2025-02-07,1,47.8,433.73,4.61,6.3,5.54,1.14,7.32,12.94,6.12,1.58,0,0
U0002,2025-02-08,0,159.64,26.01,24.36,26.02,9.57,2.78,41.25,37.4,5.49,2.9,1,0
U0002,2025-02-09,1,80.4,310.09,13.28,21.14,3.74,2.2,9.21,20.44,3.95,3.06,1,0
U0002,2025-02-10,1,61.32,432.92,3.15,7.42,4.84,0.86,13.22,20.55,6.38,2.41,0,0
U0002,2025-02-11,0,86.0,25.82,6.85,12.93,6.1,1.11,14.59,29.82,7.72,1.49,0,0
U0002,2025-02-12,0,129.64,21.23,14.9,16.16,9.55,3.33,19.68,28.88,26.77,2.78,0,0
U0002,2025-02-13,0,76.05,20.55,9.92,11.36,6.97,1.46,15.42,17.83,7.02,2.47,0,0
U0002,2025-02-14,0,51.3,25.62,6.63,10.41,3.64,0.97,10.62,11.62,3.31,0.8,0,1
U0002,2025-02-15,1,55.45,472.37,3.28,7.42,7.05,1.05,7.91,23.18,1.12,2.15,1,0
U0002,2025-02-16,0,148.44,5.12,22.23,18.28,9.46,4.78,34.5,42.75,4.56,3.35,1,0
U0002,2025-02-17,1,76.58,466.11,5.42,18.67,6.23,0.74,6.73,24.8,7.87,2.84,0,0
U0002,2025-02-18,1,40.95,395.8,3.35,3.98,5.14,0.54,5.62,14.54,4.5,1.8,0,0
U0002,2025-02-19,0,100.46,8.48,14.61,15.75,7.19,2.04,17.99,21.03,13.82,2.55,0,0
U0002,2025-02-20,0,104.71,7.02,15.65,12.44,13.02,1.43,20.4,22.45,10.94,1.71,0,0
U0002,2025-02-21,0,103.12,25.36,9.28,11.73,3.75,2.14,30.37,28.0,9.58,1.45,0,0
U0002,2025-02-22,1,48.71,318.69,4.92,7.33,3.17,0.72,13.43,13.34,1.91,2.12,1,0
U0002,2025-02-23,0,176.29,9.68,12.71,26.2,10.27,5.08,36.27,61.88,9.78,3.96,1,0
U0002,2025-02-24,1,29.97,415.49,2.18,5.85,2.51,0.64,2.48,11.04,2.87,2.18,0,0
U0002,2025-02-25,0,91.85,21.66,16.51,27.35,6.32,1.3,11.71,9.72,11.6,2.41,0,0
U0002,2025-02-26,0,100.88,12.96,11.39,17.83,8.03,2.66,16.94,21.39,14.57,2.17,0,0
U0002,2025-02-27,1,53.88,368.31,6.0,6.0,3.65,0.84,8.21,18.28,6.59,2.35,0,0
U0002,2025-02-28,0,49.03,20.97,2.67,5.57,5.59,0.67,5.69,17.94,6.97,0.41,0,0
U0002,2025-03-01,0,80.83,2.15,16.01,17.74,5.21,1.95,8.44,21.92,3.09,1.86,1,0
U0002,2025-03-02,0,104.06,13.29,10.84,17.97,7.75,2.29,16.51,34.35,6.03,2.17,1,0
